fund,predict,min,max,risk
2,2393.27 ,1773.48 ,3015.90 ,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,2393.27 ,1773.48 ,3015.90 ,
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,,,,
111,,,,
112,,,,
113,,,,
114,,,,
115,,,,
116,,,,
117,,,,
118,,,,
119,,,,
120,,,,
121,,,,
122,,,,
123,,,,
124,,,,
125,,,,
126,,,,
127,,,,
128,,,,
129,,,,
130,,,,
131,,,,
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,,,,
138,,,,
139,,,,
140,,,,
141,,,,
142,,,,
143,,,,
144,,,,
145,,,,
146,,,,
147,,,,
148,,,,
149,,,,
150,,,,
151,,,,
152,,,,
153,,,,
154,,,,
155,,,,
156,,,,
157,,,,
158,,,,
159,,,,
160,,,,
161,,,,
162,,,,
163,,,,
164,,,,
165,,,,
166,,,,
167,,,,
168,,,,
169,,,,
170,,,,
171,,,,
172,,,,
173,,,,
174,,,,
175,,,,
176,,,,
177,,,,
178,,,,
179,,,,
180,,,,
181,,,,
182,,,,
183,,,,
184,,,,
185,,,,
186,,,,
187,,,,
188,,,,
189,,,,
190,,,,
191,,,,
192,,,,
193,,,,
194,,,,
195,,,,
196,,,,
197,,,,
198,,,,
199,,,,
200,,,,
201,,,,
202,,,,
203,,,,
204,,,,
205,,,,
206,,,,
207,,,,
208,,,,
209,,,,
210,,,,
211,,,,
212,,,,
213,,,,
214,,,,
215,,,,
216,,,,
217,,,,
218,,,,
219,,,,
220,,,,
221,,,,
222,,,,
223,,,,
224,,,,
225,,,,
226,,,,
227,,,,
228,,,,
229,,,,
230,,,,
231,,,,
232,,,,
233,,,,
234,,,,
235,,,,
236,,,,
237,,,,
238,,,,
239,,,,
240,,,,
241,,,,
242,,,,
243,,,,
244,,,,
245,,,,
246,,,,
247,,,,
248,,,,
249,,,,
250,,,,
251,,,,
252,,,,
253,,,,
254,,,,
255,,,,
256,,,,
257,,,,
258,,,,
259,,,,
260,,,,
261,,,,
262,,,,
263,,,,
264,,,,
265,,,,
266,,,,
267,,,,
268,,,,
269,,,,
270,,,,
271,,,,
272,,,,
273,,,,
274,,,,
275,,,,
276,,,,
277,,,,
278,,,,
279,,,,
280,,,,
281,,,,
282,,,,
283,,,,
284,,,,
285,,,,
286,,,,
287,,,,
288,,,,
289,,,,
290,,,,
291,,,,
292,,,,
293,,,,
294,,,,
295,,,,
296,,,,
297,,,,
298,,,,
299,,,,
300,,,,
301,1048.44 ,505.00 ,1591.70 ,
302,1592.49 ,1204.04 ,1969.01 ,
303,1534.31 ,1532.64 ,1536.03 ,
304,1042.34 ,1041.12 ,1043.57 ,
305,2475.31 ,1838.06 ,3067.17 ,
306,2274.59 ,1735.02 ,2787.89 ,
307,1376.95 ,1062.63 ,1695.79 ,
308,2027.21 ,1553.97 ,2494.21 ,
309,1568.47 ,1260.91 ,1859.94 ,
310,1372.07 ,1140.66 ,1595.52 ,
311,2314.45 ,1932.25 ,2694.60 ,
312,2248.48 ,1879.29 ,2633.81 ,
313,1754.48 ,1432.82 ,2089.07 ,
314,1592.74 ,1239.12 ,1936.28 ,
315,2891.05 ,2330.73 ,3489.18 ,
316,1451.38 ,1206.16 ,1692.16 ,
317,1333.92 ,1072.45 ,1591.63 ,
318,2191.88 ,1858.38 ,2515.12 ,
319,2160.44 ,1721.99 ,2600.13 ,
320,1543.42 ,1336.46 ,1744.21 ,
321,1524.25 ,1349.40 ,1703.72 ,
322,1094.35 ,834.42 ,1351.09 ,
323,2047.06 ,1557.50 ,2543.26 ,
324,1194.55 ,992.10 ,1376.80 ,
325,1018.58 ,773.29 ,1256.10 ,
326,2085.40 ,1592.92 ,2573.17 ,
327,1392.69 ,1013.96 ,1791.28 ,
328,2010.69 ,1597.53 ,2453.88 ,
329,1527.20 ,1153.73 ,1869.50 ,
330,1773.99 ,1339.70 ,2223.69 ,
331,1976.81 ,1548.84 ,2367.13 ,
332,1732.66 ,1291.46 ,2139.58 ,
333,2133.46 ,1588.15 ,2662.38 ,
334,1601.52 ,1391.94 ,1816.27 ,
335,1264.40 ,1105.76 ,1424.32 ,
336,2384.70 ,1860.59 ,2883.70 ,
337,1850.61 ,1446.13 ,2231.09 ,
338,1494.17 ,1159.95 ,1830.37 ,
339,1754.62 ,1284.12 ,2196.37 ,
340,2115.21 ,1627.71 ,2620.83 ,
341,1506.82 ,1196.44 ,1796.14 ,
342,1721.16 ,1424.18 ,2038.06 ,
343,2438.27 ,1852.19 ,3029.81 ,
344,1919.70 ,1561.78 ,2257.52 ,
345,1434.22 ,1016.16 ,1849.70 ,
346,2629.83 ,1978.31 ,3277.23 ,
347,3106.44 ,2507.72 ,3744.74 ,
348,1602.97 ,1388.26 ,1827.42 ,
349,1086.61 ,829.51 ,1345.15 ,
350,1010.38 ,810.24 ,1214.71 ,
351,4255.27 ,3343.20 ,5156.39 ,
352,2880.82 ,2239.67 ,3511.28 ,
353,1053.15 ,565.60 ,1521.17 ,
354,1450.43 ,1448.68 ,1452.31 ,
355,1415.54 ,1413.51 ,1417.37 ,
356,1229.64 ,1067.57 ,1408.10 ,
357,1406.73 ,1116.93 ,1692.08 ,
358,1882.42 ,1505.04 ,2243.94 ,
359,2311.28 ,1710.48 ,1936.64 ,
360,2065.85 ,1696.34 ,2438.83 ,
361,1773.57 ,1443.63 ,2107.17 ,
362,1329.71 ,1156.70 ,1509.36 ,
363,2264.73 ,1738.14 ,2806.81 ,
364,1228.86 ,974.40 ,1484.91 ,
365,1655.23 ,1141.19 ,2197.84 ,
366,1501.97 ,1100.58 ,1910.18 ,
367,2115.10 ,1605.12 ,2627.34 ,
368,2031.16 ,1540.94 ,2517.41 ,
369,1598.19 ,1483.31 ,1717.88 ,
370,1576.61 ,1441.26 ,1697.73 ,
371,1478.17 ,1367.93 ,1587.01 ,
372,1082.95 ,971.23 ,1192.78 ,
373,2461.01 ,1882.26 ,2971.45 ,
374,989.83 ,879.34 ,1103.65 ,
375,2084.10 ,1605.84 ,2595.02 ,
376,2030.48 ,1527.21 ,2553.89 ,
377,2216.74 ,1625.50 ,2754.52 ,
378,2191.74 ,1758.35 ,2657.64 ,
379,1312.15 ,1155.00 ,1470.14 ,
380,1806.23 ,1381.18 ,2228.92 ,
